sessionYear,patronName,amendmentCount,totalNetAmount,largestAmendment,smallestAmendment
2025,Hodges,9,190080000.0,154500000.0,250000.0
2025,Hackworth,5,147360152.0,136200000.0,500000.0
2025,Suetterlein,5,137183000.0,130000000.0,50000.0
2025,McDougle,14,124532244.0,72717468.0,50000.0
2025,Ebbin,15,115485880.0,62500000.0,20000.0
2025,Willett,32,115050741.0,18000000.0,20000.0
2025,Askew,15,91925000.0,50000000.0,75000.0
2025,Stuart,20,84331632.0,50000000.0,45586.0
2025,Marsden,23,82423514.0,30000000.0,50000.0
2025,Bagby,9,75700000.0,35000000.0,250000.0
2025,Srinivasan,6,74287376.0,64597787.0,186000.0
2025,Williams Graves,26,66365906.0,50000000.0,50000.0
2025,Perry,19,60553048.0,25672048.0,25000.0
2025,Jones,3,56100000.0,55600000.0,250000.0
2025,Hernandez,11,56050000.0,50000000.0,50000.0
2025,Reaser,6,55805500.0,55600000.0,25500.0
2025,McQuinn,17,55805381.0,20000000.0,100000.0
2025,Roem,14,54233736.0,40311705.0,50000.0
2025,Hayes,22,52950600.0,16650000.0,20000.0
2025,Mulchi,8,51177800.0,25000000.0,50000.0
2025,Sullivan,11,49970000.0,25000000.0,50000.0
2025,Williams,10,41450000.0,25000000.0,50000.0
2025,Ward,13,41432748.0,25672048.0,75000.0
2025,Herring,11,39544503.0,25705749.0,25000.0
2025,Pillion,22,38915677.0,7000000.0,110000.0
2025,Reeves,21,36960000.0,27000000.0,50000.0
2025,Cousins,10,34102113.0,14500000.0,250000.0
2025,McPike,13,33317098.0,18000000.0,50000.0
2025,Stanley,12,32624002.0,25000000.0,50000.0
2025,French,5,31930000.0,27000000.0,50000.0
2025,Scott P,5,31300000.0,27000000.0,50000.0
2025,Tran,9,28554142.0,19860366.0,18796.0
2025,Gilbert,2,27370619.0,27000000.0,370619.0
2025,Carroll Foy,13,26752662.0,15165650.0,50000.0
2025,Reid,20,26214436.0,10000000.0,50000.0
2025,Austin,14,25654675.0,6300000.0,72447.0
2025,Salim,8,25500000.0,20000000.0,50000.0
2025,Bloxom,8,25104290.0,8000000.0,354290.0
2025,Delaney,7,24765650.0,15165650.0,50000.0
2025,Wiley,4,23380000.0,20000000.0,500000.0
2025,Jordan,15,22978000.0,6000000.0,50000.0
2025,Obenshain,12,22934472.0,8339725.0,40000.0
2025,Webert,3,20650000.0,20000000.0,150000.0
2025,Knight,1,18970000.0,18970000.0,18970000.0
2025,Diggs,13,18595647.0,15165650.0,24997.0
2025,Watts,4,18214000.0,11664000.0,50000.0
2025,Lopez,9,18010000.0,10000000.0,10000.0
